doi,cite_num_outgoing,cite_num_ingoing,oci_outgoing,oci_ingoing,status
10.5281/zenodo.5504259,0.0,0,[],[],ok
10.5281/zenodo.15358180,0.0,0,[],[],ok
10.5281/zenodo.15249055,0.0,0,[],[],ok
10.5281/zenodo.15411447,0.0,0,[],[],ok
10.5281/zenodo.15261097,0.0,0,[],[],ok
10.5281/zenodo.12626626,0.0,0,[],[],ok
10.5281/zenodo.13959965,0.0,0,[],[],ok
10.5281/zenodo.8123645,0.0,0,[],[],ok
10.5281/zenodo.6557966,0.0,0,[],[],ok
10.5281/zenodo.6557907,0.0,0,[],[],ok
10.5281/zenodo.7981132,0.0,0,[],[],ok
10.5281/zenodo.4288898,0.0,1,[],['06401062285-060409643'],ok
10.5281/zenodo.6557869,0.0,0,[],[],ok
10.5281/zenodo.4472831,0.0,0,[],[],ok
10.5281/zenodo.5467987,0.0,0,[],[],ok
10.5281/zenodo.11615930,0.0,0,[],[],ok
10.5281/zenodo.13921206,0.0,0,[],[],ok
10.5281/zenodo.8147223,0.0,0,[],[],ok
10.5281/zenodo.14725778,0.0,0,[],[],ok
10.5281/zenodo.10529068,0.0,0,[],[],ok
10.5281/zenodo.4688017,0.0,0,[],[],ok
10.5281/zenodo.6472471,0.0,0,[],[],ok
10.5281/zenodo.15254135,0.0,0,[],[],ok
10.5281/zenodo.10200172,0.0,0,[],[],ok
10.5281/zenodo.7760961,0.0,0,[],[],ok
10.5281/zenodo.13134390,0.0,0,[],[],ok
10.5281/zenodo.11073197,0.0,0,[],[],ok
10.5281/zenodo.7987174,0.0,0,[],[],ok
10.5281/zenodo.8147441,0.0,0,[],[],ok
10.5281/zenodo.15430050,0.0,0,[],[],ok
10.5281/zenodo.14988991,0.0,0,[],[],ok
10.5281/zenodo.6259291,0.0,0,[],[],ok
10.5281/zenodo.13983366,0.0,0,[],[],ok
10.5281/zenodo.7546592,0.0,0,[],[],ok
10.5281/zenodo.10797206,0.0,0,[],[],ok
10.5281/zenodo.7773512,0.0,0,[],[],ok
10.5281/zenodo.4568197,0.0,0,[],[],ok
10.5281/zenodo.5506706,0.0,0,[],[],ok
10.5281/zenodo.4701062,0.0,1,[],['06301728028-061803582077'],ok
10.5281/zenodo.4390515,0.0,0,[],[],ok
10.5281/zenodo.4501063,0.0,0,[],[],ok
10.5281/zenodo.5506710,0.0,1,[],['06703848358-062604046181'],ok
10.5281/zenodo.8109119,0.0,0,[],[],ok
10.5281/zenodo.10656779,0.0,0,[],[],ok
10.5281/zenodo.4300328,0.0,0,[],[],ok
10.5281/zenodo.11811677,0.0,0,[],[],ok
10.5281/zenodo.7831045,0.0,0,[],[],ok
10.5281/zenodo.5713719,0.0,0,[],[],ok
