title,id,doi,creators,orcid,date,description,resource_type,url,type,rights,publisher,relation,communities,swh_id,keywords,src_repo,issn,pmid,iris_cat,title_norm,dup_reason
Marine macrobenthic assemblages off Bevano River mouth (2019),7981132.0,10.5281/zenodo.7981132,"['Ponti, Massimo', 'Mugnai, Francesco', 'Turicchia, Eva', 'Novindi, Adreagiulia', 'Abbiati, Marco']","['0000-0002-6521-1330', '0000-0003-0022-7988', '0000-0002-8952-9028', 'zenodo', '0000-0002-2426-4524']",2023-05-31,"This dataset provides the abundance (ind. m-2) of marine macrobenthic invertebrate species at 39 random sampling points from 0.5 to 8 m depth along the coast (5 km) off the NATURA 2000 site IT4070009 ""Ortazzo, Ortazzino e Foce del Torrente Bevano"", sampled from 22 May to 4 July, 2019. Sediment grain size and organic matter are also provided.
The dataset is provided in three formats: 
- Microsoft Excel XLSX file, including 3 sheets (Dataset, Fields and units, Taxonomy) 
- CSV files (UTF-8), 3 files corresponding to the 3 sheets of the Excel file 
- ESRI Shapefile (UTF-8, geometry point, EPSG:4326 - WGS 84)
The dataset includes 39 records, one for each sampling point, and 111 fields. The first 12 fields are described in Table 4). The following fields concern the abundance of the identified taxa as individuals preserved in alcohol sorted and classified under microscope (ind. m-2 ± 10). All the dataset fields are described in the file “Fields and units”, while the taxonomic related information for each taxon is provided in the file “Taxonomy”. Information extracted from the World Register of Marine Species (WoRMS; https://marinespecies.org/) is provided here.
A total of 99 soft bottom taxa belonging to the Phyla Annelida (29), Arthropoda (28), Cnidaria (1), Echinodermata (2), Mollusca (37), Nemertea (1), and Phoronida (1) were identified. Of these, 51 have been recognized at species level.
This dataset comes from the project ""Characterization of the mouth area of the Bevano River and identification of strategies for the conservation and enhancement of nursery areas for protected species of commercial interest"", carried out by the Interdepartmental Research Center for Environmental Sciences (CIRSA) of the Alma Mater Studiorum University of Bologna. The project was financed by the Emilia-Romagna Region (call FLAG Costa dell'Emilia-Romagna 2018) with funds from the European Union (FEAMP 2014/2020, Action 2.A.a, ""Marine and lagoon habitats - Studies and research""), and took place from January to August 2019 (Abbiati et al., 2019 DOI: 10.5281/zenodo.4016598). This dataset has been revised and completed within the project ""Ecosystem for Sustainable Transition in Emilia-Romagna"" (Code: ECS_00000033 - CUP: B33D21019790006; Mission 04 Education and research - Component 2 From research to business Investment 1.5 - NextGenerationEU) .
 
First 12 fields in the dataset.




Field


Darwin Core term


Unit


Precision


Note




locationID


locationID


NA


NA


Sampling location identifier (ID) specific to the data set




samplingDate


eventDate


YYYY-MM-DD


NA


Conforms to ISO 8601-1:2019




samplingTime


eventTime


HH:MM


± 10 min


Central European Summer Time CEST (UTC+2) conforms to ISO 8601-1:2019




decimalLatitude


decimalLatitude


decimal degrees


± 0.00001


WGS84 (EPSG: 4326) - WAAS/EGNOS enabled GPS position




decimalLongitude


decimalLongitude


decimal degrees


± 0.00001


WGS84 (EPSG: 4326) - WAAS/EGNOS enabled GPS position




Depth


maximumDepthInMeters


m


± 0.1


Mean Lower Low Water - measured with echosounder or depth gauge corrected by tide gauge of Porto Corsini (RA)




SamplingGear


NA


NA


NA


Van Veen grab operated from boat or bailer manually operated by diver inside a cylindrical frame




SamplingArea


NA


m^2


± 0.001


Sampler size




Mud


NA


% dry mass


± 0.1%


<63 µ wet sieved recovered on Whatman filter paper and then dried at 80°C for 24 hours before weighing at ± 0.00001 g




FineSand


NA


% dry mass


± 0.1%


250-63 µ wet sieved recovered on Whatman filter paper and then dried at 80°C for 24 hours before weighing at ± 0.00001 g




MediumSand


NA


% dry mass


± 0.1%


>250 µ wet sieved recovered on Whatman filter paper and then dried at 80°C for 24 hours before weighing at ± 0.00001 g




OrganicMatter


NA


% dry mass


± 0.1%


Loss on Ignition (LOI%) at 450°C 8h and weighted at ± 0.00001 g




Actiniaria


NA


ind. m^-2


± 10


Individuals preserved in alcohol sorted and classified under microscope



",dataset,https://doi.org/10.5281/zenodo.7981132,dataset,open,zenodo,['7981131'],['ecosister_spoke5_wp3'],,"['Diopatra neapolitana', 'Onuphis eremita', 'Hesionidae', 'Nephtys hombergii', 'Nephtys', 'Mysta picta', 'Phyllodocidae', 'Sigalion mathildae', 'Poecilochaetus fauchaldi', 'Dispio uncinata', 'Malacoceros', 'Prionospio caspersi', 'Cirriformia tentaculata', 'Cirratulidae', 'Flabelligeridae', 'Melinna palmata', 'Capitella capitata', 'Notomastus latericeus', 'Peresiella clymenoides', 'Magelona', 'Euclymene oerstedii', 'Leiochone leiopygos', 'Orbiniidae', 'Owenia fusiformis', 'Aricidea (Acmira) assimilis', 'Paraonidae', 'Caprellidae', 'Monocorophium acherusicum', 'Pagurus', 'Penaeus kerathurus', 'Liocarcinus depurator', 'Liocarcinus vernalis', 'Pharus legumen', 'Pharidae', 'Anadara inaequivalvis', 'Anadara kagoshimensis', 'Anadara transversa', 'Donax semistriatus', 'Fabulina fabula', 'Macomangulus tenuis', 'Peronaea planata', 'Tellina', 'Lucinella divaricata', 'Lentidium mediterraneum', 'Varicorbula gibba', 'Arcuatula senhousia', 'Pyganodon fragilis', 'Mactra stultorum', 'Spisula subtruncata', 'Chamelea gallina', 'Dosina', 'Polititapes aureus', 'Ruditapes decussatus', 'Ruditapes philippinarum', 'Venus nux', 'Thracia convexa', 'Thracia phaseolina', 'Cerithium vulgatum', 'Turritellinella tricarinata', 'Bolinus brandaris', 'Tritia incrassata', 'Tritia mutabilis', 'Tritia neritea', 'Tritia nitida', 'Trochidae', 'Phoronida', 'Amphipholis squamata', 'Ophiuroidea']",zenodo,,,7.05 Banche dati,marine macrobenthic assemblages off bevano river mouth 2019,multiple ids
Surface Water Loss map and Urbanization map,4472831.0,10.5281/zenodo.4472831,"['Palazzoli, Irene', 'Montanari, Alberto', 'Ceola, Serena']","['0000-0001-8273-2472', 'zenodo', 'zenodo']",2021-01-27,"Surface water are severly affected by human activities, and here we defined two novel datasets, both derived from remote sensing data, to investigate the influence of urban areas on the spatial distribution of surface water loss locations across the watersheds in the United States: the Surface Water Loss map and the Urbanization map.
The Surface Water Loss map is a binary map that identifies the geographical location of surface water depletion hotspots. It was obtained from the Surface Water Transitions layer of the Global Surface Water dataset (Pekel et al., 2016). Pixels values in the map are as follows: 0 = No surface water loss, 1 = Surface water loss hotspots.
The Urbanization map is a binary map that shows the presence of built-up areas. It was generated from the GHS-BUILT layer from the Global Human Settlement dataset (Corbane et al., 2019). Pixels values in the map are as follows: 0 = No urban area, 1 = Urban area.References:Corbane et al. (2019). Automated global delineation of human settlements from 40 years of Landsat satellite data archives. Big Earth Data 3, 140-169, https://doi.org/10.1080/20964471.2019.1625528
Pekel et al. (2016). High-resolution mapping of global surface water and its long-term changes. Nature, 540, 418-422, https://doi.org/10.1038/nature20584",dataset,https://doi.org/10.5281/zenodo.4472831,dataset,open,zenodo,['4472830'],[],,"['Surface water loss', 'Urbanization', 'Surface water depletion']",zenodo,,,7.05 Banche dati,surface water loss map and urbanization map,multiple ids
DPValid collection,11221707.0,10.6092/unibo/amsacta/7710,"['Davico, Giorgio', 'Bottin, Francesca', 'Labanca, Luciana', 'Baruffaldi, Fabio', 'Viceconti, Marco']","['0000-0002-2046-529X', '0000-0002-6936-019X', '0000-0002-1574-2766', '0000-0001-8784-5652', '0000-0002-2293-1530']",2024-05-16,"The DPValid dataset is composed of (anonymized) raw and processed data, including surface electromyography (sEMG) and dynamometry data collected during a maximum voluntary isometric contraction test (MVIC) on 20 healthy adults (HA), 10 females and 10 males. The dataset further includes the 3D reconstructions of the major muscles of the thigh (n = 13 per side), segmented on full lower limb magnetic resonance images.",dataset,https://doi.org/10.6092/unibo/amsacta/7710,dataset,open,zenodo,['11221706'],['insilicoworld-openaccess'],,"['dynamometry', 'MVIC', 'electromyography', 'healthy adults', 'muscle volumes']",zenodo,,,7.05 Banche dati,dpvalid collection,multiple ids
HFValid collection: Hip-Fracture validation collection,7555270.0,10.6092/unibo/amsacta/7126,"['Aldieri, Alessandra', 'La Mattina, Antonino', 'Szyszko, Julia Aleksandra', 'Baruffaldi, Fabio', 'Viceconti, Marco']","['0000-0002-2397-3353', '0000-0002-9927-2393', '0000-0001-8750-4719', '0000-0001-8784-5652', '0000-0002-2293-1530']",2023-01-11,"The HFValid dataset is composed of 101 calibrated CT scans of whole femurs, the corresponding segmentations, and selected anatomical landmarks. The CT scans were collected at Rizzoli Orthopaedic Institute (IOR) from 1999 to 2016 for surgical planning of hip arthroplasty at the contralateral femur.
All the necessary Ethical committee authorisation documents have been obtained and are available (in Italian) upon request.",dataset,https://doi.org/10.6092/unibo/amsacta/7126,dataset,open,zenodo,['7555269'],"['eu', 'insilicoworld-openaccess']",,['Validation collection; modelling & simulation; credibility evidence; in silico trials; hip fracture prediction; human femurs dataset'],zenodo,,,7.05 Banche dati,hfvalid collection hipfracture validation collection,multiple ids
"Striped venus clam (Chamelea gallina) abundance, size, and biomass off Bevano River mouth (2019)",7990370.0,10.5281/zenodo.7990370,"['Ponti, Massimo', 'Mugnai, Francesco', 'Turicchia, Eva', 'Novindi, Adreagiulia', 'Abbiati, Marco']","['0000-0002-6521-1330', '0000-0003-0022-7988', '0000-0002-8952-9028', 'zenodo', '0000-0002-2426-4524']",2023-05-31,"This dataset provides the abundance (ind. m-2) of the striped venus clams, Chamelea gallina (Linnaeus, 1758),  at 71 random sampling points (Fig. 3) from 0.5 to 8 m depth along the coast (5 km) off the NATURA 2000 site IT4070009 ""Ortazzo, Ortazzino e Foce del Torrente Bevano"", sampled from 22 May to 4 July, 2019. Where available, the mean and standard deviation of shell length (i.e. the maximum distance between anterior and posterior margins) of Chamelea gallina determined to the nearest 0.01 mm using a manual calliper, and the wet biomass per square metre (g m-2), estimated on the basis of the mean shell length, by length–weight relationship (according to Petetta et al., 2019), were provided. Depth, sediment grain size, and organic matter at each point are also provided. 
The dataset is provided in three formats: 

Microsoft Excel XLSX file, including 3 sheets (Dataset, Fields and units, Parameters) 
CSV files (UTF-8), 3 files corresponding to the 3 sheets of the Excel file 
ESRI Shapefile (UTF-8, geometry point, EPSG:4326 - WGS 84)

 
The dataset includes 71 records, one for each sampling point, and 17 fields, which are described in the Excel sheet/CSV file “Fields and units” (see also Table 6).  The Excel sheet/CSV file provides details and coefficients of the length–weight relationship (log W= log a + b log L; where: W=wet weight (g), L=length (mm), Log base=10) used to estimate the wet biomass from the mean lengths and abundances (the calculation formulas are present in the Excel sheet).
Finally, ESRI Shapefile provides users with direct upload in any Geographic Information System (GIS). Nevertheless, due to this file format limitations, dataset field names have been truncated and/or renamed to fit 10 characters.
Fields in the dataset (NA=not available).




Field


Darwin Core term


Unit


Precision


Note






locationID


locationID


NA


NA


Sampling location identifier (ID) specific to the data set




samplingDate


eventDate


YYYY-MM-DD


NA


Conforms to ISO 8601-1:2019




samplingTime


eventTime


HH:MM


± 10 min


Central European Summer Time CEST (UTC+2) conforms to ISO 8601-1:2019




decimalLatitude


decimalLatitude


decimal degrees


± 0.00001


WGS84 (EPSG: 4326) - WAAS/EGNOS enabled GPS position




decimalLongitude


decimalLongitude


decimal degrees


± 0.00001


WGS84 (EPSG: 4326) - WAAS/EGNOS enabled GPS position




Depth


maximumDepthInMeters


m


± 0.1


Mean Lower Low Water - measured with echosounder or depth gauge corrected by tide gauge of Porto Corsini (RA)




SamplingGear


NA


NA


NA


Van Veen grab operated from boat or bailer manually operated by diver inside a cylindrical frame




SamplingArea


NA


m2


± 0.001


Sampler size




Mud


NA


% dry mass


± 0.1%


Sediment particles <63 µ wet sieved recovered on Whatman filter paper and then dried at 80°C for 24 hours before weighing at ± 0.00001 g




FineSand


NA


% dry mass


± 0.1%


Sediment particles 250-63 µ wet sieved recovered on Whatman filter paper and then dried at 80°C for 24 hours before weighing at ± 0.00001 g




MediumSand


NA


% dry mass


± 0.1%


Sediment particles >250 µ wet sieved recovered on Whatman filter paper and then dried at 80°C for 24 hours before weighing at ± 0.00001 g




OrganicMatter


NA


% dry mass


± 0.1%


Sediment organic matter content obtained by Loss of weight on Ignition (LOI%) at 450°C 8h and weighted at ± 0.00001 g




Individuals


NA


ind. sample-1


± 1


Individuals of Chamelea gallina retrieved in each sample, preserved in alcohol sorted and classified under microscope




Abundance


NA


ind. m-2


± 10


Abundance of Chamelea gallina per square meter estimated on the basis of the sampling area




MeanLength


NA


mm


± 0.01


Mean shell length (i.e. the maximum distance between anterior and posterior margins) of Chamelea gallina determined to the nearest 0.01 mm using a manual calliper




SDLength


NA


mm


± 0.01


Standar deviation of mean shell length of Chamelea gallina




WetMass


NA


g m-2


± 1


Wet biomass per square meter of Chamelea gallina estimated on the basis of the mean shell length, by length–weight relationship (according to Petetta et al., 2019 DOI:10.1080/24750263.2019.1668066), and abundnce




 
This dataset comes from the project ""Characterization of the mouth area of the Bevano River and identification of strategies for the conservation and enhancement of nursery areas for protected species of commercial interest"", carried out by the Interdepartmental Research Center for Environmental Sciences (CIRSA) of the Alma Mater Studiorum University of Bologna. The project was financed by the Emilia-Romagna Region (call FLAG Costa dell'Emilia-Romagna 2018) with funds from the European Union (FEAMP 2014/2020, Action 2.A.a, ""Marine and lagoon habitats - Studies and research""), and took place from January to August 2019 (Abbiati et al., 2019). Finally, this dataset has been revised and completed within the project  “Ecosystem for Sustainable Transition in Emilia-Romagna” (ECOSISTER, Code: ECS_00000033 - CUP: B33D21019790006).
 ",dataset,https://doi.org/10.5281/zenodo.7990370,dataset,open,zenodo,['7990369'],['ecosister_spoke5_wp3'],,"['Chamelea gallina', 'Emilia-Romagna region', 'Blue economy', 'Fishery']",zenodo,,,7.05 Banche dati,striped venus clam chamelea gallina abundance size and biomass off bevano river mouth 2019,multiple ids
National Edition of Aldo Moro's works (RDF Dataset),5592157.0,10.5281/zenodo.5592157,"['Barzaghi, Sebastian']",['0000-0002-0799-1527'],2021-10-25,"A Turtle file that contains structural, intertextual and contextual data about the National Edition of Aldo Moro's works.",dataset,https://doi.org/10.5281/zenodo.5592157,dataset,open,zenodo,['5592156'],[],,"['digital edition', 'digital humanities', 'rdf', 'semantic web', 'turtle', ""national edition of aldo moro's works""]",zenodo,,,7.05 Banche dati,national edition of aldo moros works rdf dataset,title
"Recommendations for Data Stewardship Skills, Training and Curricula with Implementation Examples from European Countries and Universities",10573892.0,10.5281/zenodo.10573892,"['Basalti, Chiara', 'Fazekas-Paragh, Judit', 'Forni, Monica', 'van Gelder, Celia', 'Hasani-Mavriqi, Ilire', 'Janik, Joanna', 'Kalová, Tereza', 'Kuchma, Iryna', 'Lindroos, Hanna', 'Lütcke, Henry', 'Pinnick, Jaana', 'Raga, Núria', 'Thorpe, Deborah', 'Wildgaard, Lorna']","['0009-0004-7080-1927', '0000-0003-0364-2423', 'zenodo', '0000-0002-0223-2329', '0000-0003-0758-0805', '0000-0001-7587-2995', '0000-0002-1764-7228', '0000-0002-2064-3439', '0000-0002-8455-8452', '0000-0001-7225-4374', '0000-0002-7718-5133', '0000-0001-9643-6826', '0000-0002-2307-8770', '0000-0002-3900-5058']",2024-01-26,"Data stewards, who plan, manage and maintain the data of a research unit, are skilled professionals essential in bringing about a culture change for data management, sharing research data, and developing infrastructures and data policies. At present, this essential role is not supported by validated curricula which produce individuals with the competencies, skills and capabilities the research community desperately needs to manage data.
In this report, the EOSC Association Task Force “Data stewardship, curricula and career paths” identifies how data stewardship is operationalised and implemented in the “real world”. Using implementation cases as the foundation for our recommendations, we move beyond literature and landscaping studies and build on practical experiences, including potentials, challenges and barriers to data stewardship.
Three priority areas form the major themes of this report, which are exemplified on European, national, and institutional levels are the following:
●      Skills, roles, and competencies: How to develop a competency profile for core data stewardship activities and define training levels needed by the different data steward roles in and outside the EOSC ecosystem.
●      Context: models and landscape: The role(s) of data stewards, their core activities, possible specialisations, or extension activities are defined in the context in which these roles operate.
●      Training and curricula: Produce guidelines for data stewardship curricula, which could include university curricula and short training, but ultimately as a sustainable training structure that can live on after the work of the task forces has been completed.
The report includes 17 Recommendations for European and national policymakers, funders and governments and 13 Recommendations for Research Performing Organizations on competencies training and curricula for data stewards; curricula and training for researchers, funders and decision makers; career paths; policies, data stewardship communities and networks.  
Whilst this report recommends approaches to curriculum and profile development, there are still barriers and leverage opportunities to overcome at the local level of implementation. Therefore, our recommendations are directed at decision-makers at the managerial and administrative levels, who can consult, coordinate and nudge recommendations into action.",report,https://doi.org/10.5281/zenodo.10573892,publication,open,zenodo,['10573891'],['eosc'],,"['Data Stewardship', 'Skills', 'Training', 'Curricula', 'Europe', 'EOSC', 'European Open Science Cloud', 'Competencies', 'Recommendations', 'Policymakers', 'Funders', 'Governments', 'Research Performing Organizations']",zenodo,,,7.13 Rapporto tecnico,recommendations for data stewardship skills training and curricula with implementation examples from european countries and universities,multiple ids
Baseline report. Deliverable 2.1 of the LIFE NatuReef project: Nature-based reef solution for coastal protection and marine biodiversity enhancement. LIFE22-NAT-IT-LIFE-NatuReef/101113742,14253824.0,10.5281/zenodo.14253824,"['Del Bianco, Fabrizio', 'Avellini, Geremia', 'Marucci, Francesco', 'Costantini, Federica', 'Pezzolesi, Laura', 'Silvestri, Sonia', 'Giambastiani, Beatrice Maria Sole', 'Guerrini, Franca', 'Turicchia, Eva', 'Franchini, Martina', 'Carlini, Carlotta', 'Manfredini, Elena', 'Chippari, Federica', 'Archetti, Renata', 'Guerrero, Massimo', 'Gaeta, Maria Gabriella', 'Casadei, Isabella', 'Zanutta, Antonio', 'Girelli, Valentina Alena', 'Tini, Maria Alessandra', 'Lambertini, Alessandro', 'Boninsegni, Alberto', 'Giordano, Carmen Maria', 'Ravaioli, Stefano', 'Costa, Massimiliano', 'Cavalieri, Elena', 'Gavioli, Anna', 'Zannini, Stefano', 'Veritelli, Cristina', 'Caldironi, Yarno', 'Monteleone, Luca', 'Bonaccorso, Elisa', 'Merloni, Nicola', 'Gravina, Maria Flavia', 'Ponti, Massimo']","['zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', '0000-0002-8952-9028', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', '0000-0002-6521-1330']",2024-09-30,"The primary aim of this report is to provide the necessary habitat and biodiversity baseline (ante operam, the condition prior to the activity taking place) of the marine and coastal areas at the Bevano river mouth to allow the proper design and implementation of the “basal limestone reef” and the superimposed biogenic reefs. This baseline will also provide the reference condition for the subsequent habitat and biodiversity monitoring, necessary to evaluate the achievement of the project objectives in terms of habitat and species conservation, and biodiversity and reef restoration.
The report includes:
●          Terrain and marine morphology
●          Metocean conditions
●          Evolution of coastline, beach-dune system morphology, and vegetation cover
●          Soft bottom habitats, communities, and biodiversity 
●          Ornithofauna",project deliverable,https://doi.org/10.5281/zenodo.14253824,publication,open,zenodo,['14253823'],['life_natureef'],,,zenodo,,,7.13 Rapporto tecnico,baseline report deliverable 21 of the life natureef project naturebased reef solution for coastal protection and marine biodiversity enhancement life22natitlifenatureef101113742,multiple ids
CNR-IRPI-Padova/SPS: SPS v0.1,3601172.0,10.5281/zenodo.3601172,"['Giacomo Titti', 'Giulia Bossi']","['0000-0003-1980-8723', '0000-0003-1486-403X']",2020-01-08,The SPS is a Decision Support System that supports the selection of the soil parameters (cohesion and friction angle) of landslides comparing the landslide monitoring system composed by GPS banchmarks and inclinometers and the three-dimensional models of the landslide generated by the use of FLAC3DTM software. The DSS select the best combination of soil parameters from a pool of admissible modeled solutions (perm_16.20_SS14.20.log) generated with FLAC3DTM by the permutation of the landslide soil parameters.,software,https://doi.org/10.5281/zenodo.3601172,software,open,zenodo,['3601171'],[],,,zenodo,,,7.04 Software,cnrirpipadovasps sps v01,title
Oyster supply and storing plan. Deliverable 4.2 of the LIFE NatuReef project: Nature-based reef solution for coastal protection and marine biodiversity enhancement. LIFE22-NAT-IT-LIFE-NatuReef/101113742,14199162.0,10.5281/zenodo.14199162,"['Turicchia, Eva', 'Giovanardi, Otello', 'Ponti, Massimo']","['0000-0002-8952-9028', '0000-0002-3171-9099', '0000-0002-6521-1330']",2024-10-25,,project deliverable,https://doi.org/10.5281/zenodo.14199162,publication,restricted,zenodo,['14199161'],['life_natureef'],,,zenodo,,,7.13 Rapporto tecnico,oyster supply and storing plan deliverable 42 of the life natureef project naturebased reef solution for coastal protection and marine biodiversity enhancement life22natitlifenatureef101113742,multiple ids
