title,creators,url
101 hadoop hdfs Giovanni Speciale 01,"['Enrico Gallinucci', 'unknown']",https://github.com/unibo-bigdata/101-hadoop-hdfs-GiovanniSpeciale01
poc itot convergence mw,"['Lorenzo Patera', 'Lorenzo Patera']",https://github.com/MMw-Unibo/poc-itot-convergence-mw
cinnamon generic,"['Federico Ruggeri', 'federicoruggeri']",https://github.com/nlp-unibo/cinnamon_generic
robotiq 2f gripper git,"['Kevin Galassi', 'andrea_govoni', 'kev', 'kvn']",https://dei-gitlab.dei.unibo.it/lar/robotiq_2f_gripper.git
students oop 21 bfh,"['Alice Conti', 'Alice Conti', 'Emily', 'Meteora9150', 'Roberto Casadei', 'olivia']",https://github.com/rcasadei-unibo/students-oop21-bfh
project simple scala,['Gianluca Aguzzi'],https://github.com/unibo-pps/project-simple-scala
Student Project OOP 22 Buda Ceredi Maglia Severi unrl defense,"['Danilo Maglia', 'Danilo Pianini', 'Francesco Buda', 'Roberto Casadei', 'Tommaso Ceredi', 'Tommaso Ceredi', 'Tommaso Severi', 'Tommaso Severi', 'TommasoCere']",https://github.com/unibo-oop-projects/Student-Project-OOP22-Buda-Ceredi-Maglia-Severi-unrl-defense
Student Project OOP 22 Francolini Kane La Farciola Sinani Kingdom Clash,"['Abdoulaye Kane', 'Lorenzo La Farciola', 'Marco Francolini', 'MarcoFrn', 'RealSilvi']",https://github.com/unibo-oop-projects/Student-Project-OOP22-Francolini-Kane-LaFarciola-Sinani-KingdomClash
unibo 90107 databases,"['Stefano Volpe', 'Stefano Volpe']",https://github.com/foxyseta/unibo-90107-databases
201 mapreduce Chiara For 96,"['Chiara Forresi', 'Enrico Gallinucci', 'unknown']",https://github.com/unibo-bigdata/201-mapreduce-ChiaraFor96
101 hadoop hdfs marcocelli 107,"['Enrico Gallinucci', 'unknown']",https://github.com/unibo-bigdata/101-hadoop-hdfs-marcocelli107
Unibo Lab R,['Raffaele Anselmo'],https://github.com/RaffaeleAns/Unibo_Lab_R
WESPipeline,"[""Daniele Dall'Olio"", 'Draco95', 'Eugenio Fonzi', 'Eugenio Fonzi']",https://github.com/UniboDIFABiophysics/WESPipeline
lab 10 git,"['Giovanni', 'Giovanni Ciatto']",https://dvcs.apice.unibo.it/pika-lab/courses/ds/ay2324/lab-10.git
303 spark sql Michele Donati,"['Enrico Gallinucci', 'unknown']",https://github.com/unibo-bigdata/303-spark-sql-MicheleDonati
CSEd unibo github io,"['CSEd-unibo', 'Michael Lodi', 'Renzo Davoli', 'michaellodi']",https://github.com/CSEd-unibo/CSEd-unibo.github.io
unibo ai,"['Daniele Santini', 'Simone Montali', 'Simone Montali', 'montali', 'montali', 'n28div', 'simmontali']",https://github.com/jdotsh/unibo-ai
compass,"['Federico Stella', 'Marlon Marcon', 'Marlon Marcon', 'rspezialetti', 'rspezialetti']",https://github.com/CVLAB-Unibo/compass
unibo 93283 logics for informatic git,"['FoxySeta', 'Stefano Volpe']",https://codeberg.org/Foxy/unibo-93283-logics-for-informatic.git
students oop 21 map,"['Federico Bartolini', 'Federico Bartolini', 'Luca Babboni', 'Luca Babboni', 'Roberto Casadei', 'Samuele De Tuglie', 'Samuele De Tuglie', 'Sara Romeo', 'Sara Romeo', 'Sara Romeo']",https://github.com/rcasadei-unibo/students-oop21-map
301 spark basics Leo Pasquale 94,"['Enrico Gallinucci', 'unknown']",https://github.com/unibo-bigdata/301-spark-basics-LeoPasquale94
unibo 11925 computer architecture,"['FoxySeta', 'Stefano Volpe']",https://github.com/foxyseta/unibo-11925-computer-architecture
303 spark sql ggraffieti,"['Enrico Gallinucci', 'unknown']",https://github.com/unibo-bigdata/303-spark-sql-ggraffieti
CSEd unibo github io,"['CSEd-unibo', 'Michael Lodi', 'Renzo Davoli', 'michaellodi']",https://github.com/lozazz/CSEd-unibo.github.io
Student Project OOP 20 Di Girolamo Di Marco Malucelli Venturi Maze Dungeon,"['Alberto Di Girolamo', 'Davide Di Marco', 'Davide 😀️', 'Filippo Venturini', 'Malucelli Nicolo', 'Roberto Casadei']",https://github.com/unibo-oop-projects/Student-Project-OOP20-DiGirolamo-DiMarco-Malucelli-Venturi-MazeDungeon
Student Project OOP 21 Addimando Pacilli Pieri Zoccola floppy floppa,"['Benedetta Pacilli', 'Roberto Casadei', 'Salvatore Antonio Addimando', 'Salvatore Antonio Addimando', 'Valentina Pieri', 'ValentinaPieri', 'benedettapacilli', 'criicchio', 'criicchio']",https://github.com/unibo-oop-projects/Student-Project-OOP21-Addimando-Pacilli-Pieri-Zoccola-floppy-floppa
201 mapreduce Fran Netti,"['Enrico Gallinucci', 'Francesco Grandinetti', 'unknown']",https://github.com/unibo-bigdata/201-mapreduce-FranNetti
progettosistemi,"['3FrA3', 'Annalisa', 'Manuel091002', 'Nicole', 'annalisapol', 'annalisapol', 'manuel091002', 'manuel091002', 'nixiees']",https://github.com/sistemi-unibo/progettosistemi
unibo msc 1,"['Giacomo Ritucci', 'Giacomo Ritucci']",https://github.com/rjack/unibo-msc-1
progettotesi git,"['DaniCR-GitHub', 'Daniela Chavez Rejas', 'Daniela Chavez Rejas - daniela.chavezrejas@studio.unibo.it', 'daniela']",https://bitbucket.org/unibo3-2020-21/progettotesi.git
oop 22 t 2s game,"['Andrea Cecchini', 'Leonardo David Matteo Magnani', 'Luca Oskari Fiumano', ""Nicolò D'Addabbo"", 'Roberto Casadei']",https://github.com/rcasadei-unibo/oop22-t2s-game
virtualtraining git,['Marco Galassi'],https://bitbucket.org/uniboprogettoweb/virtualtraining.git
Unibo Deep Learning,['Christian Nilsen Lehre'],https://github.com/christianlehre/Unibo-Deep-Learning
304 spark streaming,['unknown'],https://github.com/unibo-bigdata/304-spark-streaming
Student Project OOP 22 Forti Marchetti Pagliarani Pracucci Risik OOP,"['Davide', 'Davide Marchetti', 'Filippo Pracucci', 'Filippo Pracucci', 'Martino Pagliarani', 'Mattia Forti']",https://github.com/unibo-oop-projects/Student-Project-OOP22-Forti-Marchetti-Pagliarani-Pracucci-RisikOOP
Student Project OOP 14 Bellini Capponi Smarter Cities,"['FedeBell94', 'Federico Bellini', 'Fr3']",https://github.com/unibo-oop-projects/Student-Project-OOP14-Bellini-Capponi-SmarterCities
Student Project OOP 20 Agostinelli Borriello Brini Mazzanti Bomber 1,"['Gustavo Mazzanti', 'Luigi Borriello', 'LuigiBorriello', 'Roberto Casadei', 'Tommaso', 'Weebli']",https://github.com/unibo-oop-projects/Student-Project-OOP20-Agostinelli-Borriello-Brini-Mazzanti-Bomber1
Uni BO beamer,['Nico-Curti'],https://github.com/UniboDIFABiophysics/UniBO_beamer
progetto universita,"['unibo-niccolotonin', 'unibo-niccolotonin']",https://github.com/unibo-niccolotonin/progetto-universita
pcd 2022 2023 assignment 1 with jpf,"['Lorenzo Campanelli', 'lorenzocampanelli3-unibo']",https://github.com/lorenzocampanelli3-unibo/pcd-2022-2023-assignment1-with-jpf
fact checking,['Vairo Di Pasquale'],https://github.com/NLP-Team-Unibo/fact-checking
students oop 20 farming Simulator,"['Federico Raffoni', 'Linda', 'Linda Fabbri', 'Roberto Casadei', 'SimoRega', 'SimoRega', 'Simone Rega', 'unknown']",https://github.com/rcasadei-unibo/students-oop20-farmingSimulator
unibo udp playground,"['Giacomo Ritucci', 'Giacomo Ritucci']",https://github.com/rjack/unibo-udp-playground
